Evaporator Inlet Water Temperature,Evaporator Outlet Water Temperature,Evaporator Flow rate,Condensor Refrigerant Pressure,Condensor Inlet Water Temperature,Condensor Outlet Water Temperature,Condensor Flow Rate,Motor KW
10.5,5.4,271.0,131.0,26.6,32.7,331.5,254.8
10.4,5.3,271.2,131.0,26.5,32.7,331.7,255.4
10.4,5.4,272.1,131.0,26.6,32.7,332.1,255.6
10.4,5.3,272.3,131.0,26.5,32.7,332.0,255.0
10.4,5.3,270.9,131.0,26.6,32.7,325.6,254.8
10.4,5.3,272.3,131.0,26.5,32.8,331.0,254.3
10.4,5.4,271.3,131.0,26.5,32.7,333.5,254.0
10.4,5.4,270.6,131.0,26.5,32.7,331.6,253.2
10.4,5.3,270.8,131.0,26.5,32.7,332.8,253.3
10.4,5.3,269.5,131.0,26.5,32.7,334.6,252.9
10.4,5.4,270.5,131.0,26.6,32.7,332.4,253.0
10.5,5.4,271.2,131.0,26.6,32.7,330.3,252.2
10.5,5.4,270.5,130.3,26.5,32.7,331.3,252.7
10.5,5.4,271.2,130.3,26.5,32.7,332.1,252.0
10.4,5.3,270.3,130.3,26.5,32.6,331.9,253.0
10.5,5.4,271.6,130.3,26.6,32.7,332.4,252.1
10.4,5.3,271.1,130.3,26.6,32.7,331.1,252.4
10.5,5.4,271.6,130.3,26.6,32.7,333.9,252.2
10.4,5.3,271.4,130.3,26.6,32.7,332.5,252.1
10.5,5.4,270.1,130.3,26.5,32.7,331.5,252.3
10.4,5.4,271.6,130.3,26.6,32.7,331.3,250.0
10.4,5.3,270.9,127.6,26.5,32.5,416.3,250.6
10.5,5.3,271.1,127.6,26.6,32.1,417.9,250.6
10.5,5.4,271.0,127.6,26.6,32.0,413.0,250.0
10.4,5.4,269.6,127.6,26.6,32.0,417.2,250.1
10.5,5.4,271.2,127.6,26.6,32.0,415.5,250.6
10.4,5.4,269.8,127.6,26.6,31.9,419.2,250.2
10.5,5.3,270.6,127.6,26.6,31.9,418.4,250.4
10.5,5.4,269.7,127.6,26.6,31.9,418.4,250.2
10.5,5.4,269.9,127.6,26.6,31.9,419.5,249.7
10.5,5.3,271.1,127.6,26.6,31.9,416.9,249.6
10.5,5.4,270.5,127.6,26.6,31.9,416.9,249.6
10.4,5.3,270.7,127.6,26.5,31.9,417.7,250.3
10.5,5.4,270.9,127.6,26.5,31.9,419.1,252.1
10.4,5.3,270.9,127.6,26.5,31.9,417.3,251.5
10.4,5.3,269.7,127.6,26.5,31.9,418.4,251.3
10.4,5.3,270.6,127.6,26.5,31.9,420.1,252.1
10.4,5.3,270.5,127.6,26.5,32.0,417.2,252.7
10.5,5.3,270.7,127.6,26.5,31.9,416.2,252.6
10.4,5.3,271.3,127.6,26.4,32.0,415.0,252.3
10.4,5.3,271.1,127.6,26.1,31.9,418.3,252.2
10.4,5.3,270.6,127.6,26.7,31.9,416.6,252.3
10.4,5.3,270.7,127.6,26.7,31.9,418.5,252.5
10.4,5.3,271.2,127.6,26.8,31.9,417.1,253.2
10.5,5.3,271.4,127.6,26.8,32.0,418.7,253.4
10.5,5.3,270.8,127.6,26.8,32.0,417.9,253.7
10.4,5.3,271.5,127.6,26.8,32.0,417.9,253.6
10.5,5.3,270.8,128.2,26.8,31.9,418.1,254.2
10.5,5.3,271.1,127.6,26.8,32.0,418.3,253.6
10.4,5.3,270.2,127.6,26.8,31.9,416.2,253.7
10.5,5.3,271.2,127.6,26.8,31.9,418.0,253.9
10.5,5.3,271.1,127.6,26.8,32.0,413.0,254.2
10.4,5.3,271.0,127.6,26.8,32.0,415.6,253.9
10.4,5.3,270.7,127.6,26.8,32.0,419.6,253.6
10.5,5.3,271.7,127.6,26.8,31.9,416.1,253.7
10.4,5.3,270.7,127.6,26.8,31.9,419.1,254.1
10.5,5.3,271.2,127.6,26.8,31.9,419.0,253.7
10.4,5.3,271.5,127.6,26.8,31.9,417.4,252.9
10.4,5.3,271.7,127.6,26.8,31.9,418.5,252.5
10.4,5.3,271.8,127.6,26.8,31.9,416.6,252.7
10.4,5.3,271.5,127.6,26.8,31.9,418.6,252.1
10.4,5.3,271.2,127.6,26.8,31.9,417.3,251.9
10.4,5.3,271.9,127.6,26.8,31.9,417.7,251.7
10.4,5.3,270.7,127.6,26.9,32.0,417.8,251.2
10.4,5.3,271.3,127.6,26.8,31.9,416.7,251.8
10.5,5.3,271.4,127.6,26.8,31.9,418.3,252.0
10.4,5.3,271.4,127.6,26.8,32.0,416.0,252.2
10.5,5.3,271.3,127.6,26.9,32.0,417.4,252.2
10.4,5.3,272.6,127.6,26.9,32.0,417.0,251.9
10.4,5.3,270.3,127.6,26.8,31.9,419.3,253.2
10.4,5.3,271.6,127.6,26.9,31.9,418.7,252.9
10.4,5.3,271.4,127.6,26.8,31.9,417.8,252.8
10.4,5.3,271.4,127.6,26.9,32.0,419.9,252.6
10.4,5.3,271.6,127.6,26.8,32.0,416.2,252.5
10.4,5.3,271.3,127.6,26.8,31.9,418.3,253.0
10.4,5.3,272.0,127.6,26.8,31.9,417.4,253.6
10.4,5.3,270.9,127.6,26.8,31.9,417.5,253.9
10.4,5.3,271.8,127.6,26.9,32.0,412.7,254.0
10.3,5.3,272.4,127.6,26.9,31.9,415.5,254.4
10.4,5.3,272.2,127.6,26.9,31.9,418.0,254.2
10.4,5.3,271.6,127.6,26.9,31.9,418.3,254.3
10.4,5.3,272.6,127.6,26.8,31.9,418.9,254.1
10.4,5.3,272.0,127.6,26.9,32.0,418.1,253.4
10.4,5.3,270.6,127.6,26.9,31.9,416.7,253.7
10.4,5.2,271.3,127.6,26.9,31.9,417.0,253.8
10.4,5.3,270.5,127.6,26.9,32.0,417.3,252.7
10.3,5.3,271.7,127.6,26.9,31.9,416.1,252.7
10.4,5.3,271.6,127.6,26.9,32.0,418.5,252.5
10.4,5.3,271.6,127.6,26.9,32.0,418.7,252.4
10.4,5.3,271.8,127.6,26.9,31.9,417.8,252.1
10.4,5.3,271.8,127.6,26.8,31.9,419.7,252.3
10.4,5.3,271.6,127.6,26.8,31.9,419.1,251.4
10.3,5.3,271.7,127.6,26.9,31.9,417.2,251.6
10.3,5.3,271.3,127.6,26.9,31.9,417.6,251.1
10.3,5.3,271.4,127.6,26.9,31.9,415.8,251.0
10.4,5.3,271.1,127.6,26.9,32.0,417.9,251.2
10.4,5.3,271.0,127.6,26.9,32.0,417.8,251.2
10.4,5.3,270.8,127.6,26.8,31.9,418.0,250.9
10.3,5.3,270.6,127.6,26.9,32.0,419.7,251.8
10.4,5.3,271.6,127.6,26.9,32.0,417.9,251.4
10.4,5.3,270.7,127.6,26.9,31.9,418.7,251.8
10.4,5.3,272.0,127.6,26.9,31.9,419.1,251.8
10.4,5.3,271.3,127.6,26.9,31.9,417.3,252.1
10.4,5.3,271.6,127.6,26.9,31.9,419.1,251.8
10.3,5.3,270.8,127.6,26.9,31.9,418.7,251.6
10.4,5.3,270.9,127.6,26.9,31.9,411.0,253.2
10.4,5.3,271.7,127.6,26.9,32.0,417.9,252.4
10.3,5.2,271.4,127.6,27.0,32.0,417.3,252.3
10.3,5.3,271.1,127.6,26.9,31.9,417.1,252.0
10.4,5.3,270.7,127.6,26.9,31.9,416.1,251.7
10.4,5.3,271.5,127.6,26.9,31.9,417.1,251.6
10.4,5.3,270.7,127.6,26.9,31.9,416.5,251.4
10.4,5.2,271.0,127.6,26.9,31.9,418.8,251.4
10.3,5.2,271.1,127.6,26.9,31.9,416.8,251.9
10.3,5.2,270.3,127.6,26.9,31.9,418.3,252.2
10.4,5.3,271.2,127.6,26.9,31.9,416.4,252.5
10.3,5.2,271.4,127.6,26.9,31.9,417.9,253.2
10.3,5.2,271.0,127.6,26.9,31.9,418.1,252.9
10.3,5.3,271.4,127.6,26.9,31.9,418.9,253.7
10.4,5.3,271.9,127.6,26.9,31.9,415.4,253.9
10.4,5.3,271.7,127.6,26.9,31.9,418.0,253.2
10.4,5.3,271.9,126.9,26.8,31.9,418.6,253.4
10.3,5.3,271.5,127.6,26.9,31.9,418.1,253.5
10.4,5.3,271.4,127.6,26.9,31.9,417.2,253.0
10.4,5.3,270.7,126.9,26.9,31.9,418.1,252.8
10.4,5.3,271.9,127.6,26.9,31.9,417.4,253.4
10.4,5.3,270.8,127.6,26.9,31.9,417.3,253.3
10.4,5.3,272.0,127.6,26.9,31.9,419.9,252.1
10.3,5.2,271.4,126.9,26.9,31.9,418.6,251.7
10.3,5.3,270.7,127.6,26.9,31.9,417.2,251.4
10.3,5.3,270.9,127.6,26.9,31.9,416.9,251.0
10.3,5.2,271.2,126.9,26.9,31.9,417.4,251.7
10.3,5.2,271.7,127.6,26.9,31.8,417.8,251.6
10.3,5.3,271.1,126.9,26.9,31.8,413.2,252.5
10.4,5.3,271.4,127.6,26.9,31.9,411.7,252.6
10.4,5.3,271.5,126.9,26.9,31.9,418.4,252.5
10.3,5.2,272.0,126.9,26.9,31.9,415.7,252.7
10.3,5.2,271.3,126.9,26.9,31.8,417.8,253.2
10.3,5.2,272.5,127.6,26.9,31.9,418.1,253.1
10.3,5.3,272.2,127.6,26.9,31.9,418.7,253.3
10.4,5.3,271.6,127.6,26.9,31.8,417.9,253.5
10.4,5.3,270.8,127.6,27.0,31.9,416.8,252.9
10.3,5.3,271.0,127.6,27.0,31.9,418.1,252.6
10.3,5.2,270.9,127.6,27.0,31.9,417.6,252.4
