model,protocol,r2,mae,rmse,mape,lambda,n_train,n_test
baseline,envelope,-9.984208736606023,4.472019414773206,5.8117502955622795,1.750224128294553,1.0,17132,1855
baseline,random,0.9768882649734191,1.9349952004537914,3.3883958519757336,0.8789785339578505,1.0,15190,3797
pinn,envelope,-10.02393625619891,4.5699746021363294,5.822250734843757,1.7882638621192222,0.05,17132,1855
pinn,envelope,-7.796795731547903,3.692809826627253,5.200975541234401,1.4458369856793558,0.2,17132,1855
pinn,envelope,-7.715765857068366,3.8774974072397232,5.176966265990337,1.520059656312338,1.0,17132,1855
pinn,random,0.9768423867248461,1.9418792957690691,3.3917572741521504,0.8826366402930561,0.05,15190,3797
pinn,random,0.9742742185694229,2.165127456580647,3.5748856477949333,0.9799658413538679,0.2,15190,3797
pinn,random,0.9542686740366451,3.1679749604115397,4.7663371964574575,1.4303148304666513,1.0,15190,3797
law_sr,random,0.8847254470331258,5.389543410254241,7.567363395466033,2.439853340077917,,,3797
law_legacy,random,-121.23370951824184,62.559331647678526,246.41852998940033,28.266637336902328,,,3797
law_sr,envelope,-17.734184265695557,6.112467287788494,7.589968115276391,2.3961671123403616,,,1855
law_legacy,envelope,-3309.0397346745904,53.78796576569344,100.88791837233003,21.017777598152737,,,1855
